Nº  da AF,Tipo,Nome do Fornecedor,Filial,A.F. Principal,"Tem
Filha",Fornecedor,Nome da Filial,Comprador,Nome do Comprador,Un. Compr.,"Dados
Repres.","Data da
AF","Dt. Últ.
Receb.","Cond.
Pag.",Unidade,"Desconto
 (R$/%)","Outras
Despesas","Valor Total
Pedido (R$)",ST,Autoriz,Origem,Origem,Dev,"Impressa/
Enviada",Transp. 1,Cond. Pag T1,Frete T1,Transp 2,Cond. Pag. T2,Frete T2,"Fnt.
Recurso","Tipo Frete
Interno","Guia
Importação","Núm.
Contrato","Núm.
Licitação",Multa Atraso,Qtd dias,Ind. Data Base,Autorizador,Moeda,"Data de
Validade","Código
Referência",Val. Tot. Financeiro,Valor Total Integral,"Recebto
Confirmado",Modalidade,Modalidade,XML Gerado,Aceita,Data Aceite,Total Valor Pendente,Total Qtde. Pendente
00003262,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003262,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"87,32",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"87,32","87,32",Não,00000001,Padrão,,S,3/30/2022,0,0
00003263,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003263,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"75,73",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"75,73","75,73",Não,00000001,Padrão,,S,3/30/2022,0,0
00003264,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003264,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"95,12",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"95,12","95,12",Não,00000001,Padrão,,S,3/30/2022,0,0
00003265,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003265,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"558,22",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"558,22","558,22",Não,00000001,Padrão,,S,3/30/2022,0,0
00003266,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003266,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"513,21",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"513,21","513,21",Não,00000001,Padrão,,S,3/30/2022,0,0
00003267,N,COMPANHIA PIRATININGA DE FORÇA E LUZ,015,00003267,N,9398,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"485,98",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"485,98","485,98",Não,00000001,Padrão,,S,3/30/2022,0,0
00003268,N,NEXTEL TELECOMUNICAÇOES LTDA,015,00003268,N,4256,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,3/30/2022,3/30/2022,00,001,0,0,"320,82",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"320,82","320,82",Não,00000001,Padrão,,S,3/30/2022,0,0
00003269,N,GKS SERVICOS PATRIMONIAIS EIRELI,015,00003269,N,10470,C.E.S.A.R - SOROCABA,24,REGIANE C MENDONÇA BANDEIRA,,Não,3/30/2022,3/30/2022,00,001,0,0,"4.005,37",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"4.005,37","4.005,37",Não,00000001,Padrão,,S,3/30/2022,0,0
00003270,N,EDIFICIO PLANETA OFFICE CENTER,015,00003270,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,4/1/2022,4/1/2022,00,001,0,0,"683,65",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"683,65","683,65",Não,00000001,Padrão,,S,4/1/2022,0,0
00003271,N,EDIFICIO PLANETA OFFICE CENTER,015,00003271,N,9363,C.E.S.A.R - SOROCABA,25,VICTOR SOUZA,,Não,4/1/2022,4/1/2022,00,001,0,0,"541,44",R,S,31,AF,N,Sim,,,0,,,0,00,,,,,0,0,DMNF,,R$,,,"541,44","541,44",Não,00000001,Padrão,,S,4/1/2022,0,0
